model,history_hours,horizon,n,mae,rmse,mase,bias,high_n,high_mae,high_bias,overall_pinball,overall_coverage80,overall_width80,high_pinball,high_coverage80,high_width80,mae_ci_low,mae_ci_high,delta_vs_persistence,delta_ci_low,delta_ci_high
LightGBM global,168,1,1596,11.677932811863894,21.963225611662704,0.2191981580832013,0.5327205457664962,328,24.102957077746414,-4.886965829405582,,,,,,,10.855072702058406,12.55311211311504,-0.07206718813610528,-0.41503239597445857,0.25876165136400525
LightGBM global,168,6,1596,37.2532884746018,63.09899029677564,0.6965551902440954,-3.8531041275174296,324,75.49387752341167,-58.880705649178765,,,,,,,34.210898722756724,39.92012983499667,-2.0455837058493236,-2.9898385932091887,-1.2519508987538466
LightGBM global,168,24,1596,62.326369122137315,85.4055447856363,1.170127760507769,-2.317338277931482,349,109.82153049061965,-106.0372142912098,,,,,,,59.18426568074955,65.53135180377231,-14.110347669842636,-16.36212028585468,-11.950810920071207
LightGBM global,720,1,1596,11.677932811863894,21.963225611662704,0.2191981580832013,0.5327205457664962,328,24.102957077746414,-4.886965829405582,,,,,,,10.855072702058406,12.55311211311504,-0.07206718813610528,-0.41503239597445857,0.25876165136400525
LightGBM global,720,6,1596,37.2532884746018,63.09899029677564,0.6965551902440954,-3.8531041275174296,324,75.49387752341167,-58.880705649178765,,,,,,,34.210898722756724,39.92012983499667,-2.0455837058493236,-2.9898385932091887,-1.2519508987538466
LightGBM global,720,24,1596,62.326369122137315,85.4055447856363,1.170127760507769,-2.317338277931482,349,109.82153049061965,-106.0372142912098,,,,,,,59.18426568074955,65.53135180377231,-14.110347669842636,-16.36212028585468,-11.950810920071207
LightGBM global,2160,1,1596,11.677932811863894,21.963225611662704,0.2191981580832013,0.5327205457664962,328,24.102957077746414,-4.886965829405582,,,,,,,10.855072702058406,12.55311211311504,-0.07206718813610528,-0.41503239597445857,0.25876165136400525
LightGBM global,2160,6,1596,37.2532884746018,63.09899029677564,0.6965551902440954,-3.8531041275174296,324,75.49387752341167,-58.880705649178765,,,,,,,34.210898722756724,39.92012983499667,-2.0455837058493236,-2.9898385932091887,-1.2519508987538466
LightGBM global,2160,24,1596,62.326369122137315,85.4055447856363,1.170127760507769,-2.317338277931482,349,109.82153049061965,-106.0372142912098,,,,,,,59.18426568074955,65.53135180377231,-14.110347669842636,-16.36212028585468,-11.950810920071207
LightGBM global+local,24,1,1596,11.677932811863894,21.963225611662704,0.2191981580832013,0.5327205457664962,328,24.102957077746414,-4.886965829405582,,,,,,,10.855072702058406,12.55311211311504,-0.07206718813610528,-0.41503239597445857,0.25876165136400525
